memberID,trainerID,startDate,endDate,duration
MEM066,TRN037,2025-02-21,2025-01-09,2.31
MEM092,TRN044,2025-02-15,2025-03-01,2.1
MEM094,TRN049,2025-01-27,2025-02-03,1.17
MEM038,TRN017,2025-01-18,2025-02-18,1.82
MEM051,TRN010,2025-02-10,2025-01-08,1.75
MEM063,TRN049,2025-01-29,2025-03-19,1.52
MEM004,TRN047,2025-01-08,2025-03-13,2.45
MEM001,TRN012,2025-03-10,2025-01-25,1.99
MEM008,TRN016,2025-01-09,2025-01-04,1.16
MEM029,TRN024,2025-02-13,2025-02-10,1.44
MEM055,TRN019,2025-02-21,2025-01-26,2.37
MEM003,TRN008,2025-03-10,2025-03-17,1.15
MEM032,TRN031,2025-01-31,2025-02-24,2.7
MEM010,TRN021,2025-01-26,2025-03-07,1.99
MEM074,TRN017,2025-02-02,2025-01-21,1.96
MEM083,TRN023,2025-03-16,2025-03-04,2.18
MEM034,TRN037,2025-01-17,2025-01-22,2.65
MEM097,TRN016,2025-03-24,2025-01-23,1.7
MEM087,TRN006,2025-02-05,2025-02-08,2.36
MEM055,TRN008,2025-01-13,2025-03-14,2.13
MEM092,TRN025,2025-02-23,2025-03-09,1.53
MEM032,TRN018,2025-01-16,2025-01-31,2.76
MEM050,TRN025,2025-02-16,2025-03-14,2.59
MEM007,TRN012,2025-03-24,2025-02-19,2.32
MEM093,TRN015,2025-02-28,2025-01-05,2.7
MEM008,TRN026,2025-01-25,2025-02-22,2.73
MEM065,TRN041,2025-03-25,2025-03-06,2.42
MEM057,TRN045,2025-03-01,2025-01-09,2.67
MEM067,TRN026,2025-01-04,2025-01-19,2.39
MEM088,TRN047,2025-02-21,2025-01-24,2.36
MEM087,TRN032,2025-03-24,2025-01-27,2.24
MEM059,TRN010,2025-03-09,2025-02-05,2.51
MEM072,TRN016,2025-02-06,2025-03-03,1.32
MEM054,TRN007,2025-01-10,2025-03-23,2.76
MEM067,TRN017,2025-01-04,2025-02-10,2.74
MEM051,TRN023,2025-02-13,2025-01-22,1.06
MEM097,TRN026,2025-01-26,2025-01-20,2.65
MEM092,TRN021,2025-01-25,2025-02-24,1.26
MEM008,TRN022,2025-01-10,2025-02-15,1.67
MEM034,TRN007,2025-02-24,2025-02-18,2.49
MEM035,TRN014,2025-02-11,2025-02-25,1.32
MEM096,TRN015,2025-01-03,2025-01-17,2.64
MEM088,TRN007,2025-02-11,2025-02-18,2.66
MEM078,TRN009,2025-01-11,2025-01-26,2.01
MEM032,TRN048,2025-02-22,2025-02-16,1.01
MEM046,TRN008,2025-01-24,2025-03-15,1.57
MEM016,TRN050,2025-03-14,2025-02-08,2.23
MEM068,TRN023,2025-03-28,2025-02-22,2.96
MEM037,TRN029,2025-01-20,2025-02-17,2.26
MEM054,TRN018,2025-02-21,2025-02-03,1.52
MEM085,TRN031,2025-02-20,2025-03-19,2.27
MEM014,TRN030,2025-02-19,2025-03-02,2.08
MEM095,TRN039,2025-02-20,2025-02-28,2.56
MEM055,TRN035,2025-02-06,2025-01-24,1.21
MEM048,TRN018,2025-03-19,2025-01-21,2.52
MEM082,TRN042,2025-01-21,2025-02-14,2.08
MEM007,TRN039,2025-03-06,2025-02-21,2.93
MEM074,TRN017,2025-03-11,2025-03-02,1.68
MEM007,TRN014,2025-02-08,2025-01-25,2.27
MEM033,TRN031,2025-01-25,2025-03-06,2.86
MEM023,TRN024,2025-03-23,2025-01-25,1.21
MEM085,TRN035,2025-03-26,2025-03-05,2.87
MEM019,TRN044,2025-03-28,2025-02-09,2.38
MEM019,TRN045,2025-03-08,2025-03-03,1.14
MEM036,TRN034,2025-03-10,2025-01-15,1.6
MEM029,TRN003,2025-02-14,2025-02-21,2.42
MEM060,TRN037,2025-02-10,2025-02-04,1.13
MEM082,TRN043,2025-01-26,2025-03-28,2.16
MEM002,TRN040,2025-01-13,2025-02-23,1.69
MEM001,TRN026,2025-03-27,2025-01-30,2.24
MEM047,TRN023,2025-03-18,2025-03-24,1.09
MEM069,TRN044,2025-03-02,2025-03-01,2.74
MEM020,TRN039,2025-01-03,2025-02-09,2.95
MEM011,TRN015,2025-01-27,2025-03-22,2.94
MEM002,TRN049,2025-03-09,2025-01-09,2.5
MEM067,TRN004,2025-03-11,2025-02-10,1.26
MEM087,TRN029,2025-02-07,2025-02-21,2.52
MEM012,TRN022,2025-01-21,2025-01-20,1.05
MEM020,TRN025,2025-01-26,2025-01-01,1.04
MEM005,TRN013,2025-01-02,2025-01-05,1.65
MEM037,TRN018,2025-03-01,2025-03-07,1.98
MEM038,TRN033,2025-02-11,2025-02-08,2.54
MEM094,TRN016,2025-01-16,2025-02-12,2.37
MEM009,TRN045,2025-01-16,2025-03-21,1.89
MEM098,TRN042,2025-02-06,2025-03-29,1.55
MEM053,TRN044,2025-03-28,2025-02-02,2.99
MEM044,TRN002,2025-01-09,2025-03-06,1.85
MEM099,TRN035,2025-02-21,2025-03-06,1.9
MEM086,TRN042,2025-03-28,2025-01-22,1.33
MEM024,TRN034,2025-01-25,2025-02-09,2.59
MEM081,TRN030,2025-02-21,2025-01-18,2.39
MEM074,TRN013,2025-01-24,2025-02-26,1.44
MEM030,TRN013,2025-01-04,2025-03-04,1.16
MEM059,TRN018,2025-02-27,2025-01-14,2.36
MEM087,TRN032,2025-03-14,2025-01-11,2.31
MEM096,TRN032,2025-01-05,2025-01-15,1.55
MEM081,TRN035,2025-03-03,2025-01-24,2.9
MEM081,TRN039,2025-01-02,2025-02-17,1.3
MEM014,TRN046,2025-01-19,2025-01-07,1.86
MEM009,TRN029,2025-02-10,2025-03-09,2.89
MEM040,TRN049,2025-01-16,2025-03-15,1.84
MEM066,TRN029,2025-01-18,2025-02-19,2.28
MEM025,TRN044,2025-02-07,2025-02-18,1.8
MEM073,TRN016,2025-01-05,2025-02-22,1.55
MEM022,TRN044,2025-02-04,2025-02-06,2.97
MEM004,TRN047,2025-02-26,2025-01-22,1.82
MEM026,TRN010,2025-01-25,2025-01-17,2.79
MEM058,TRN030,2025-01-16,2025-02-05,1.46
MEM029,TRN025,2025-02-07,2025-03-12,1.43
MEM098,TRN039,2025-01-09,2025-01-06,1.06
MEM087,TRN020,2025-02-17,2025-01-28,2.3
MEM037,TRN005,2025-03-14,2025-01-24,1.74
MEM075,TRN001,2025-02-08,2025-01-18,2.73
MEM070,TRN030,2025-03-07,2025-01-04,1.95
MEM018,TRN049,2025-02-27,2025-01-14,2.94
MEM085,TRN003,2025-03-01,2025-03-19,1.37
MEM042,TRN045,2025-03-21,2025-01-13,2.74
MEM100,TRN014,2025-02-19,2025-03-27,2.55
MEM041,TRN030,2025-03-23,2025-03-09,2.54
MEM038,TRN050,2025-03-11,2025-03-09,2.69
MEM034,TRN004,2025-02-13,2025-01-08,2.52
MEM017,TRN018,2025-03-07,2025-03-04,2.25
MEM037,TRN037,2025-01-01,2025-01-10,1.26
MEM025,TRN025,2025-02-22,2025-01-06,1.07
MEM076,TRN048,2025-02-27,2025-03-27,2.84
MEM087,TRN001,2025-01-10,2025-02-04,2.23
MEM086,TRN046,2025-01-04,2025-01-19,2.59
MEM085,TRN015,2025-01-01,2025-01-23,1.96
MEM027,TRN009,2025-01-29,2025-03-27,1.23
MEM057,TRN015,2025-03-16,2025-01-14,1.25
MEM031,TRN049,2025-01-11,2025-01-31,2.37
MEM006,TRN024,2025-01-08,2025-02-17,1.86
MEM091,TRN004,2025-01-30,2025-03-16,1.4
MEM040,TRN012,2025-01-08,2025-03-23,1.98
MEM098,TRN037,2025-02-06,2025-01-19,1.13
MEM012,TRN037,2025-02-11,2025-03-17,2.16
MEM053,TRN043,2025-03-06,2025-03-06,1.54
MEM071,TRN006,2025-03-07,2025-02-07,2.6
MEM010,TRN039,2025-02-25,2025-01-02,1.62
MEM045,TRN046,2025-02-02,2025-02-07,1.91
MEM017,TRN024,2025-02-24,2025-02-23,1.02
MEM026,TRN011,2025-02-10,2025-02-05,1.14
MEM085,TRN013,2025-03-02,2025-03-10,1.78
MEM092,TRN034,2025-02-24,2025-01-26,1.96
MEM062,TRN025,2025-03-09,2025-03-08,2.2
MEM046,TRN007,2025-03-11,2025-03-19,1.58
MEM064,TRN004,2025-01-11,2025-02-14,2.39
MEM002,TRN008,2025-03-02,2025-03-03,2.72
MEM054,TRN020,2025-01-21,2025-02-10,2.56
MEM065,TRN029,2025-01-25,2025-01-24,1.08
MEM051,TRN045,2025-03-10,2025-02-21,1.96
MEM053,TRN046,2025-03-27,2025-01-16,1.21
MEM036,TRN010,2025-03-15,2025-03-22,1.48
MEM026,TRN043,2025-03-13,2025-03-17,2.97
MEM029,TRN034,2025-01-10,2025-02-12,1.28
MEM021,TRN026,2025-02-17,2025-01-02,2.0
MEM011,TRN041,2025-01-03,2025-02-17,2.24
MEM040,TRN049,2025-02-19,2025-01-04,2.4
MEM011,TRN003,2025-02-20,2025-01-05,2.12
MEM036,TRN006,2025-03-04,2025-02-17,1.02
MEM059,TRN005,2025-01-07,2025-02-28,1.65
MEM039,TRN005,2025-01-06,2025-03-23,2.04
MEM099,TRN047,2025-02-13,2025-03-02,1.18
MEM054,TRN023,2025-01-14,2025-03-10,1.7
MEM098,TRN049,2025-02-26,2025-03-19,1.07
MEM055,TRN009,2025-02-09,2025-01-09,1.16
